filename,gt_person,gt_stroller,gt_luggage,gt_box,gt_is_full
cabin_001_p6_s3_l2_b0.png,6,3,2,0,
cabin_002_p6_s2_l3_b0.png,6,2,3,0,
cabin_003_p5_s2_l4_b0.png,5,2,4,0,
cabin_004_p0_s6_l0_b0.png,0,6,0,2,
cabin_005_p6_s1_l4_b0.png,6,1,4,0,
cabin_006_p2_s2_l1_b4.png,2,2,2,4,
cabin_007_p2_s2_l1_b4.png,2,2,2,4,
cabin_008_p8_s1_l1_b0.png,8,1,1,0,
cabin_009_p8_s1_l1_b0.png,8,1,1,0,
cabin_010_p9_s1_l0_b0.png,9,1,0,0,
cabin_011_p7_s1_l2_b0.png,7,1,2,0,
cabin_012_p7_s1_l2_b0.png,7,1,2,0,
cabin_013_p4_s1_l2_b3.png,4,1,2,3,
cabin_014_p6_s1_l2_b0.png,6,1,2,0,
cabin_015_p6_s1_l2_b0.png,6,1,2,0,
cabin_016_p3_s1_l2_b3.png,3,1,2,3,
cabin_017_p5_s1_l3_b0.png,5,1,3,0,
cabin_018_p5_s1_l1_b2.png,5,1,1,2,
cabin_019_p5_s1_l3_b0.png,5,1,3,0,
cabin_020_p5_s1_l3_b0.png,5,1,2,0,
cabin_021_p6_s1_l1_b0.png,6,1,1,0,
cabin_022_p5_s1_l2_b0.png,5,1,2,0,
cabin_023_p5_s1_l2_b0.png,5,1,2,0,
cabin_024_p4_s1_l1_b2.png,4,1,2,2,
cabin_025_p2_s0_l3_b4.png,2,0,3,4,
cabin_026_p0_s0_l5_b4.png,0,0,5,4,
cabin_027_p2_s3_l0_b0.png,2,3,0,0,
cabin_028_p6_s1_l0_b0.png,6,1,0,0,
cabin_029_p5_s1_l1_b0.png,5,1,1,0,
cabin_030_p8_s0_l0_b0.png,9,0,0,0,
cabin_031_p0_s0_l0_b8.png,0,0,0,8,
cabin_032_p0_s0_l0_b8.png,0,0,0,8,
cabin_033_p1_s1_l4_b0.png,1,1,4,0,
cabin_034_p2_s1_l2_b1.png,2,1,2,1,
cabin_035_p2_s1_l2_b1.png,2,1,2,1,
cabin_036_p5_s0_l2_b0.png,5,0,2,0,
cabin_037_p2_s0_l5_b0.png,2,0,5,0,
cabin_038_p4_s1_l0_b0.png,4,1,0,0,
cabin_039_p2_s1_l2_b0.png,2,1,2,0,
cabin_040_p3_s1_l3_b0.png,3,1,3,0,
cabin_041_p1_s1_l2_b1.png,1,1,2,1,
cabin_042_p5_s1_l0_b0.png,5,1,2,0,
cabin_043_p6_s0_l0_b0.png,6,0,0,0,
cabin_044_p6_s0_l0_b0.png,6,0,0,0,
cabin_045_p3_s0_l3_b0.png,3,0,3,0,
cabin_046_p2_s0_l0_b4.png,2,0,0,4,
cabin_047_p0_s0_l6_b0.png,0,0,6,0,
cabin_048_p1_s0_l0_b5.png,1,0,0,5,
cabin_049_p2_s1_l1_b0.png,2,1,1,0,
cabin_050_p1_s1_l2_b0.png,1,1,2,0,
cabin_051_p1_s1_l1_b1.png,1,1,1,1,
cabin_052_p1_s1_l1_b1.png,1,1,1,1,
cabin_053_p1_s1_l1_b1.png,1,1,1,1,
cabin_054_p1_s1_l1_b1.png,1,1,1,1,
cabin_055_p5_s0_l0_b0.png,5,0,0,0,
cabin_056_p5_s0_l0_b0.png,5,0,0,0,
cabin_057_p5_s0_l0_b0.png,5,0,0,0,
cabin_058_p5_s0_l0_b0.png,5,0,0,0,
cabin_059_p1_s1_l1_b0.png,1,1,1,0,
cabin_060_p0_s1_l2_b0.png,0,1,2,0,
cabin_061_p0_s1_l1_b1.png,0,1,1,1,
cabin_062_p1_s1_l0_b0.png,1,1,0,0,
cabin_063_p3_s0_l0_b0.png,3,0,0,0,
cabin_064_p0_s1_l0_b0.png,0,1,0,0,
cabin_065_p1_s0_l0_b1.png,1,0,0,1,
cabin_066_p0_s0_l0_b1.png,0,0,0,1,
cabin_067_p0_s0_l1_b0.png,0,0,1,0,
cabin_068_p4_s1_l1_b4.png,4,1,1,4,
